GENERAL,,PRIMER REPORTE,,ACTIVA QR,,AUDIOVISUAL / RESULTADOS,
Semana,Objetivo del Día,Post Mañana,Historia Noche,Post Mañana,Historia Noche,Reel / Video César,Sinergia / Acciones Clave
Semana 1,"Encuesta 1 / Mito a romper: ""Tengo 20 años y clientela fija"" Objetivo: Instalar el miedo a la fuga de clientes","Algo que nadie dice en voz alta sobre los negocios locales en Loja.

Cuando un cliente busca en Instagram… ""hamburguesas en Loja""  no solo te ve a ti., ve a todos tus competidores al mismo tiempo.

¿Tú qué crees que pasa en ese momento? 🔴 Es bueno 🟡 Es malo 🟠 Me da igual

Comenta con cuál te identificas. El miércoles publicamos el análisis.

Arte: fondo #1C0A00 · tag #NEGOCIOSLOCALES naranja · titular ""TU CLIENTE TE BUSCA / Y ENCUENTRA A OTRO""","La competencia en salir primero en las búsquedas es la meta hoy en día y,
saber si para tí es
🔴 Es bueno 🟡 Es malo 🟠 Me da igual
haz clic y dinos que opinas 
","Esta semana junto a @PrimerReporte le preguntamos a Loja algo incómodo.

Cuando un cliente busca en Instagram… ""hamburguesas en Loja""  no solo te ve a ti., ve a todos tus competidores al mismo tiempo.

¿Tú qué crees que pasa en ese momento? 🔴 Es bueno 🟡 Es malo 🟠 Me da igual
Vota. El miércoles publicamos el análisis — y la solución que el 99% de negocios en Loja todavía no usa.

💬 ¿Cómo crees que te encuentran tus clientes cuando te necesitan?

Arte idéntico · tag #VISIBILIDADDIGITAL · titular ""¿CUÁNTOS CLIENTES / TE ESTÁN PERDIENDO?""","¿Tu cliente te busca en redes y solo te ve a ti?
O también ve a todos los demás.
Vota y cuéntanos 👇

Sticker encuesta nativa Instagram:
Pregunta: Cuando te buscan en redes…
Opción A: Solo me ven a mí
Opción B: También ven a otros",-,"ActivaQR comparte el post de PR en Stories con sticker de encuesta nativo. En los comentarios del post de PR, ActivaQR comenta: ""Resultado más votado hasta ahora: [opción]. El miércoles publicamos el análisis completo 👀"" — mantiene el post vivo en el algoritmo.

Acciones clave: Registrar votos al CRM · Guardar ""no tengo idea"" como prospecto calificado."
Semana 2,"Encuesta 1 / Mito a romper: ""Todo es redes / mi sobrino lo maneja"" Objetivo: Omnipresencia en 4 medios + César como autoridad visible","En Loja, dueños de negocios delegan su estrategia digital a familiares por ahorro.

¿Cúal crees que es el impacto en sus ventas y reputación?
🔴 Positivo
🟡 Negativo 
🟠 No necesito un estratega

Danos tu punto de vista, el miércoles publicamos el análisis.
","¿Le confiarías la caja registradora de tu negocio a tu sobrino?
Entonces, ¿por qué sí le confías tu estrategia digital?
Vota en el post 👆 y dinos qué piensas.

Sticker: Encuesta nativa
Pregunta: ¿Delegar el marketing a un familiar es…
A: Un ahorro inteligente
B: Un riesgo real","¿Quién maneja el motor de ventas de tu negocio: un estratega con experiencia o alguien que ""sabe subir fotos""?
🔴 Un estratega
🟡 Un familiar o conocido
🟠 Nadie, lo hago yo
Vota. Y reflexiona: ¿qué diferencia hay entre tener presencia en redes y tener un sistema de ventas?
El miércoles te mostramos la diferencia con datos reales de Loja.","¿Quién decide cómo te encuentran tus clientes?
Un estratega o alguien que ""sabe subir fotos"".
La diferencia la ves en las ventas.

Sticker: Encuesta nativa
Pregunta: El motor de ventas de tu negocio lo maneja…
A: Un estratega / yo con criterio
B: Un familiar o conocido
CTA: El miércoles publicamos el análisis con datos reales de Loja.",-,"ActivaQR comenta en PR: ""¿Cuántos negocios en Loja tienen estratega vs familiar? El miércoles publicamos el breakdown 👀"". Story con sticker encuesta replicada.

Acciones clave: Guardar ""familiar o conocido"" como prospecto calificado · Activar escucha en comentarios."
Semana 3,"Encuesta 1 / Mito a romper: ""Las páginas web nadie las usa"" Objetivo: Lanzar Casos de éxito + ActivaQR $20 como caballo de Troya","Situación real en Loja: buscas un servicio, te sale un catálogo en PDF pesado o un link roto.
¿Qué haces?
🔴 Insisto hasta que abre 
🟡 Busco a otro más rápido 
🟠 Prefiero llamar directo

Comenta. El miércoles publicamos el análisis.
","Esto le pasa a más negocios en Loja de lo que crees.
Mandas tu catálogo. El cliente no lo puede abrir.
Y ya se fue con otro.
¿Qué harías tú?

Sticker: Encuesta nativa
Pregunta: Link roto o PDF que no abre…
A: Insisto hasta que funciona
B: Busco a otro de una
CTA: El miércoles publicamos el análisis.","¿Sabías que un catálogo en PDF mal optimizado hace perder el 30% de las ventas?
¿Tu contacto vive en el teléfono de tu cliente o en un link perdido que nadie abre?
🔴 Tengo link directo y funciona
🟡 Tengo PDF pero no sé si lo abren
🟠 No tengo nada de eso
Vota. El miércoles lanzamos algo que cambia esto.","El 30% de las ventas se pierden por un catálogo mal optimizado.
¿El tuyo está funcionando o está ahuyentando clientes?
Vota 👆 en el post y cuéntanos.

Sticker: Encuesta nativa
Pregunta: Tu catálogo o contacto digital…
A: Funciona y está optimizado
B: Tengo PDF o no tengo nada
CTA: El miércoles lanzamos algo que cambia esto.","**📱 HISTORIA CÉSAR REAL (ANUNCIO EXPERIMENTO)**
""Esta semana voy a instalar un sistema completo en un negocio real de Loja y voy a publicar los resultados el viernes. ¿Qué negocio debería ser? Comenta o escríbeme directo.""

**🎥 PRODUCCIÓN AUDIOVISUAL DEL DÍA: REEL AVATAR**
**Publicación:** ActivaQR
**Objetivo:** Generar expectativa para el lanzamiento del miércoles
**Duración:** 15 segundos
**Avatar:** Mujer, aprox. 30 años. Voz neutra.

**TEXTO EN PANTALLA:**
[0-3 seg] → *Un negocio en Loja perdía 10 citas por semana.*
[4-8 seg] → *No por falta de clientes.*
[9-12 seg] → *Por falta de sistema.*
[13-15 seg] → *El miércoles publicamos cómo lo resolvió.*

**GUION VOZ AVATAR:**
""Una clínica en Loja perdía diez citas por semana.
No por falta de clientes. Por falta de sistema.
El miércoles publicamos exactamente cómo lo resolvieron.
Activa las notificaciones.""

**CTA final en pantalla:** ACTIVA LAS NOTIFICACIONES","Story AQ con sticker encuesta. AQ comenta en PR: ""¿Cuántos negocios en Loja tienen este problema? El miércoles publicamos la solución"". Prelanzamiento de ActivaQR en la narrativa.

Acciones clave: Guardar ""no tengo nada de eso"" como prospecto urgente · Calentar el lanzamiento de ActivaQR."
Semana 4,"Encuesta 1 / Mito a romper: ""Estoy muy ocupado / no necesito sistemas"" Objetivo: Vender CRM · Automatización WhatsApp · Web · ActivaQR","#2026 En Loja los negocios aún se organizan con:
🔴 Agendas escritas 
🟡 Hojas Excel 
🟠 Softwares Genéricos
Dinos tu opinión en tu negocio ¿cómo lo administras?
Comenta. El miércoles publicamos el análisis.
","En 2026 hay negocios en Loja que todavía organizan todo en una libreta.
¿El tuyo es uno de ellos?
Vota en el post 👆

Sticker: Encuesta nativa
Pregunta: Tu negocio se organiza con…
A: Agenda escrita o Excel
B: Software o sistema propio
CTA: El miércoles publicamos el análisis.","Tu agenda llena no significa que tu negocio sea rentable. Yo arreglo la fuga.
¿Estás trabajando para tu negocio o tu negocio trabaja para ti?
🔴 Yo trabajo para el negocio
🟡 El negocio empieza a trabajar solo
🟠 No entiendo la diferencia todavía
Vota. El miércoles te mostramos la diferencia con datos reales.
— César Reyes, Estratega de Sistemas para PYMEs","Agenda llena no es lo mismo que negocio rentable.
¿Estás trabajando para tu negocio o tu negocio trabaja para ti?
Vota y cuéntanos 👆

Sticker: Encuesta nativa
Pregunta: En tu negocio ahora mismo…
A: Yo trabajo para el negocio
B: El negocio empieza a trabajar solo
CTA: El miércoles César Reyes publica el análisis.","**📱 HISTORIA CÉSAR REAL (FIRMA DIRECTA)**
""Esta semana cerramos el mes. Y quiero preguntarte algo directo: ¿tu negocio está trabajando para ti o tú estás trabajando para él? Escríbeme. Tengo espacios para diagnóstico esta semana.""","Primera vez que César firma directamente en el post. Story AQ con sticker encuesta. AQ comenta en PR: ""¿El problema es la economía o los procesos? El miércoles lo resolvemos con datos"".

Acciones clave: César firma por primera vez directamente · Guardar ""procesos lentos"" como prospecto caliente."
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
